numpt	contig	overlap_reads	non-overlap_reads
42_cp_3	42	78	139
42_cp_4	42	98	47
42_cp_2	42	0	7046
42_cp_1	42	114	132
42_cp_5	42	99	61
42_cp_8	42	62	84
42_cp_10	42	24	61
43_cp_11	43	27	20
43_cp_2	43	67	57
43_mt_2	43	56	10
43_cp_10	43	38	13
43_cp_7	43	42	14
43_cp_5	43	56	25
43_mt_4	43	65	26
43_mt_5	43	14	12385
43_mt_7	43	3	17381
43_cp_1	43	53	61
44_cp_8	44	60	50
44_cp_5	44	46	52
44_cp_10	44	55	51
44_cp_13	44	43	180
44_cp_11	44	52	20
44_cp_2	44	0	391703
44_cp_3	44	51	360
44_cp_6	44	78	65
45_cp_18	45	24	17
45_mt_2	45	59	26
45_cp_6	45	18	7349
45_mt_6	45	116	60
45_cp_4	45	0	27980
45_mt_8	45	0	229
45_mt_9	45	0	248
45_cp_17	45	91	22
45_cp_8	45	65	28
45_mt_10	45	11	426
45_cp_15	45	38	14
45_cp_14	45	12	5
45_cp_11	45	62	5
45_mt_13	45	8	5
46_cp_1	46	77	40
47_mt_1	47	0	899
47_cp_5	47	116	14
47_mt_5	47	88	53
47_mt_6	47	66	3119
47_cp_4	47	88	57
47_cp_3	47	86	105
47_cp_1	47	97	116
48_cp_5	48	76	38
48_cp_4	48	35	216
48_cp_3	48	58	29639
48_mt_6	48	0	10988
48_cp_7	48	69	14
49_cp_13	49	5	13
49_cp_26	49	18	104
49_cp_8	49	41	19747
49_cp_30	49	41	25
49_cp_14	49	100	89
49_cp_1	49	65	130655
49_mt_7	49	89	125
49_cp_20	49	92	32
49_cp_17	49	69	508
49_mt_10	49	42	99704
49_cp_24	49	52	60
49_cp_5	49	52	144
49_cp_42	49	121	16
49_cp_38	49	97	5
49_cp_15	49	91	87
49_mt_17	49	91	353
49_cp_4	49	60	327
49_cp_12	49	68	149
49_cp_25	49	18	84
49_mt_21	49	142	14539
49_mt_24	49	35	11
49_cp_22	49	104	26
49_cp_7	49	103	138
49_mt_28	49	84	47
49_cp_19	49	76	17
49_cp_9	49	0	36882
49_cp_6	49	0	9121
49_cp_27	49	41	46
50_cp_3	50	1	20
50_cp_2	50	25	40
50_cp_4	50	54	13
51_mt_1	51	86	78
51_cp_8	51	103	29
51_mt_3	51	0	138
51_mt_4	51	1	6518
51_mt_5	51	59	13
51_mt_6	51	0	64374
51_cp_6	51	27	656
51_cp_4	51	69	3113
52_mt_1	52	70	87
52_cp_12	52	40	11
52_cp_14	52	103	320
52_cp_6	52	92	32
52_cp_2	52	6	5732
52_cp_1	52	0	7043
52_cp_3	52	26	57
53_cp_2	53	0	19
53_mt_3	53	0	0
53_cp_8	53	110	266
53_cp_4	53	16	22
53_mt_6	53	91	7289
53_mt_7	53	8	0
53_cp_6	53	83	24
54_mt_1	54	14	10280
54_cp_2	54	71	136
54_cp_8	54	50	38
54_cp_12	54	50	16
54_cp_3	54	0	7970
54_mt_4	54	92	14
54_cp_11	54	85	39
54_cp_1	54	107	199
54_cp_17	54	107	12
54_cp_9	54	79	22
54_cp_6	54	54	131
54_cp_13	54	38	14
54_cp_7	54	33	15
55_cp_7	55	55	32
55_mt_1	55	9	5474
55_cp_8	55	55	21
55_cp_5	55	99	550
55_mt_5	55	97	25
55_cp_3	55	101	229
55_cp_2	55	92	152
55_cp_1	55	91	184
56_mt_1	56	74	168
56_cp_3	56	72	189
56_cp_2	56	95	305
57_cp_21	57	33	8
57_cp_1	57	0	319279
57_mt_3	57	6	26
57_cp_31	57	67	13
57_cp_17	57	55	23
57_cp_4	57	0	43135
57_cp_5	57	17	240
57_cp_16	57	43	170
57_cp_32	57	24	106
57_cp_14	57	44	51
57_mt_11	57	0	0
57_mt_12	57	0	0
57_cp_3	57	32	15507
57_cp_11	57	44	3266
57_cp_12	57	59	54
57_cp_10	57	57	56
57_cp_19	57	62	30
58_cp_7	58	81	28
58_mt_2	58	0	1651
58_mt_4	58	95	35
58_mt_5	58	101	32
58_cp_12	58	81	26
58_cp_9	58	14	95
58_mt_13	58	90	179
58_mt_15	58	47	20
58_cp_1	58	69	1326
58_mt_16	58	35	2867
58_mt_18	58	96	146
58_mt_21	58	66	214
58_cp_6	58	70	23
58_cp_3	58	63	51
58_mt_22	58	2	4301
